0.608724		-0.792297
0.963686		-0.255827
0.915366		0.386527
0.480999		0.864414
-0.157781		0.971912
-0.726721		0.658496
-0.976202		0.057491
-0.794222		-0.567688
-0.260167		-0.939850
0.388764		-0.892949
0.862686		-0.447068
0.947432		0.198909
0.601331		0.752748
-0.020749		0.958169
-0.631202		0.714982
-0.940612		0.133601
-0.798282		-0.510200
-0.270521		-0.905743
0.387466		-0.859626
0.853722		-0.392423
0.895956		0.267462
0.488566		0.790705
-0.166350		0.908488
-0.732099		0.554085
-0.908947		-0.091342
-0.598251		-0.685191
0.035552		-0.905075
0.647089		-0.627306
0.895508		-0.001755
0.635261		0.621323
0.008987		0.880955
-0.618407		0.616788
-0.866032		-0.019903
-0.574003		-0.639606
0.080253		-0.848419
0.676797		-0.504074
0.815746		0.173403
0.390921		0.723690
-0.307929		0.749152
-0.766791		0.215924
-0.620428		-0.476280
0.030084		-0.764979
0.638011		-0.385415
0.636076		0.337536
-0.004775		0.687765
-0.595651		0.246143
-0.357558		-0.456528
0.352610		-0.306580
0.183767		0.327622
-0.319042		-0.649304
